English,Hindi,Chinese,Greek,Images
Every dream job hides a nightmare.,हर सपनों वाली नौकरी के पीछे एक दुःस्वप्न छिपा होता है।,每个梦想的工作背后都隐藏着噩梦。,Κάθε δουλειά των ονείρων κρύβει έναν εφιάλτη.,1.HEIC
Miranda:You are late. Fashion waits for no one.,Miranda: तुम देर से आई हो। फ़ैशन किसी का इंतज़ार नहीं करता।,Miranda: 你迟到了。时尚不会等任何人。,Μιράντα: Άργησες. Η μόδα δεν περιμένει κανέναν.,2.HEIC
Emily:He won't last a week.,Emily: वह एक हफ्ते भी नहीं टिकेगी।,Emily: 她撑不过一个星期。,Έμιλι: Δεν θα αντέξει ούτε μια εβδομάδα.,3.HEIC
Nigel:No one does.,Nigel: कोई भी नहीं टिकता।,Nigel: 没有人能撑住。,Νάιτζελ: Κανείς δεν αντέχει.,3-1.HEIC
Andy:I can handle pressure can't  I?,"Andy: मैं दबाव झेल सकती हूँ, है ना?",Andy: 我能承受压力，对吧？,"Άντι: Μπορώ να αντέξω την πίεση, έτσι δεν είναι;",4.HEIC
Perfection casts long shadows.,पूर्णता लंबी छाया डालती है।,完美总会投下长长的阴影。,Η τελειότητα ρίχνει μεγάλες σκιές.,Gemini_Generated_Image_f72ogif72ogif72o.png
Andy:Something moved,Andy: कुछ हिला।,Andy: 有东西动了。,Άντι: Κάτι κινήθηκε.,6.HEIC
Emily:Look here,Emily: यहाँ देखो,Emily: 看这边。,Έμιλι: Κοίτα εδώ.,IMG_4903.HEIC
Opens Door,दरवाज़ा खुलता है।,门打开了。,Ανοίγει την πόρτα.,IMG_4907.HEIC
Miranda:Try not to faint,Miranda: बेहोश मत होना।,Miranda: 尽量不要晕倒。,Μιράντα: Προσπάθησε να μη λιποθυμήσεις.,7.HEIC
Lights Flickering,लाइटें झिलमिला रही हैं।,灯光闪烁着。,Τα φώτα τρεμοπαίζουν.,IMG_4920.HEIC
Nigel:Too late to leave now.,Nigel: अब निकलने में बहुत देर हो चुकी है।,Nigel: 现在离开太晚了。,Νάιτζελ: Είναι πολύ αργά για να φύγεις τώρα.,IMG_4908.HEIC
Miranda:Emily show Andy the wardrobe.,"Miranda: Emily, Andy को वार्डरोब दिखाओ।",Miranda: Emily，带Andy看看衣橱。,Μιράντα: Έμιλι δείξε στην Άντι την γκαρνταρόμπα.,IMG_4889.HEIC
Emily:Look at this closet,Kanika: इस अलमारी को देखो,Kanika: 看看这个衣柜。,Έμιλι: Κοίτα αυτή τη ντουλάπα.,IMG_4923.HEIC
Andy: It's beautiful..,Andy: यह खूबसूरत है..,Andy: 它太漂亮了..,Άντι: Είναι υπέροχη..,IMG_4925.HEIC
Emily:Beautiful things bite back.,Emily: खूबसूरत चीजें भी काटती हैं।,Emily: 漂亮的东西也会反咬一口。,Έμιλι: Τα όμορφα πράγματα δαγκώνουν πίσω.,IMG_4924.HEIC
Andy: It's Warm,Andy: यह गर्म है,Andy: 这里很暖。,Άντι: Είναι ζεστό.,IMG_4930.HEIC
Andy : Emily!,Andy: Emily!,Andy: Emily!,Άντι: Έμιλι!,IMG_4944.HEIC
Andy : Somethings wrong!,Andy: कुछ गलत है!,Andy: 有点不对劲！,Άντι: Κάτι δεν πάει καλά!,IMG_4955.HEIC
Nigel : She’s fine. Just fashion fatigue.,Nigel: वह ठीक है। बस फ़ैशन थकान है।,Nigel: 她没事。只是时尚疲劳。,Νάιτζελ: Είναι καλά. Μόνο κόπωση από τη μόδα.,IMG_4991.HEIC
Andy: OOPSSS!! ,Andy: उफ़!!,Andy: 哎呀!!,Άντι: Ουπς!!,IMG_4998.HEIC
,,,,WhatsApp Image 2025-10-04 at 22.39.35.jpeg
Andy: oh my god... dress Turned Blood red ,Andy: ओह मेरे भगवान... ड्रेस खून की तरह लाल हो गई।,Andy: 天哪...裙子变成了血红色！,Άντι: Θεέ μου... το φόρεμα έγινε κατακόκκινο.,24.HEIC
Miranda: Everyone !! Midnight. Showtime.,Miranda: सब लोग!! आधी रात। शो का समय।,Miranda: 所有人！！午夜。表演时间到了。,Μιράντα: Όλοι!! Μεσάνυχτα. Ώρα παράστασης.,IMG_4959.HEIC
,,,φωτογραφία πασαρέλας.,40_1.png
Miranda: start the show ,Miranda: शो शुरू करो,Miranda: 开始表演。,Μιράντα: Ξεκινήστε το σόου.,IMG_5111.HEIC
Emily: Everyone follow my lead,Emily: सब लोग मेरी अगुवाई का पालन करो,Emily: 大家跟着我做。,Έμιλι: Όλοι ακολουθήστε με.,27.HEIC
Andy: Emily ..Whats happening,Andy: Emily.. क्या हो रहा है?,Andy: Emily.. 发生什么事了？,Άντι: Έμιλι... Τι συμβαίνει;,28.HEIC
Miranda : perfection requires Sacrifces,Miranda: पूर्णता बलिदान मांगती है।,Miranda: 完美需要牺牲。,Μιράντα: Η τελειότητα απαιτεί θυσίες.,30.HEIC
Nigel: i can't hide it anymore i need to reveal it to someone,"Nigel: मैं अब इसे छुपा नहीं सकता, मुझे इसे किसी को बताना होगा।",Nigel: 我再也藏不住了，我必须告诉某个人。,"Νάιτζελ: Δεν μπορώ να το κρύψω άλλο, πρέπει να το αποκαλύψω σε κάποιον.",26.HEIC
Andy: Emily Take some rest!!,"Andy: Emily, कुछ आराम कर लो!!",Andy: Emily，休息一下！！,"Άντι: Έμιλι, ξεκουράσου λίγο!!",36.HEIC
,,,,15-1.heic
Glamour and blitzz,ग्लैमर और चमक-धमक,魅力与闪光。,Λάμψη και φαντασμαγορία.,16-1.png
Made a deal with the devil,शैतान से सौदा किया।,与恶魔达成了交易。,Έκανε συμφωνία με τον διάβολο.,17-1.png
feed on peoples ambition touching the enchanted dresses ,जादुई पोशाकों को छूकर यह लोगों की महत्वाकांक्षा से पोषण लेती है।,触摸那些被施了魔法的裙子，会吸食人们的野心。,Τρέφεται από τη φιλοδοξία των ανθρώπων αγγίζοντας τα μαγεμένα φορέματα.,18-1.png
Nigel:I cannot believe Miranda made a deal with devil,Nigel: मुझे विश्वास नहीं हो रहा कि Miranda ने शैतान से सौदा किया।,Nigel: 我不敢相信Miranda竟然和恶魔做了交易。,Νάιτζελ: Δεν μπορώ να πιστέψω ότι η Μιράντα έκανε συμφωνία με τον διάβολο.,19-1.png
Nigel:Please forgive me Miranda,"Nigel: कृपया मुझे माफ़ कर दो, Miranda।",Nigel: 请原谅我，Miranda。,Νάιτζελ: Συγχώρεσέ με Μιράντα.,20-1.png
Miranda: Bring me people to work and you won't be affected,Miranda: मुझे काम के लिए लोग ला दो और तुम पर असर नहीं होगा।,Miranda: 给我带些人来工作，你就不会受到影响。,Μιράντα: Φέρε μου άτομα να δουλέψουν και δεν θα επηρεαστείς.,21-1.png
,,,,15-2.heic
"Nigel: She feeds on us, darling.","Nigel: वह हमसे खाती है, डार्लिंग।",Nigel: 她靠我们为生，亲爱的。,"Νάιτζελ: Τρέφεται από εμάς, αγάπη μου.",16.HEIC
Emily: Runway was built on sacrifice.,Emily: रनवे बलिदान पर बना था।,Emily: Runway不是建立在布料上的，而是建立在牺牲上的。/ 这解释了我突然的病。,Έμιλι: Η πασαρέλα χτίστηκε πάνω στη θυσία.,25.HEIC
Andy: She is here ,Andy: वह यहाँ है,Andy: 她来了。,Άντι: Είναι εδώ.,IMG_4937.HEIC
"Miranda : Wear it, Andy. Take your place.","Miranda: इसे पहन लो, Andy। अपनी जगह ले लो।",Miranda: 穿上它，Andy。占据你的位置。,Μιράντα: Φόρεσέ το Άντι. Πάρε τη θέση σου.,33.HEIC
Andy : What Happens if I wear it?,Andy: अगर मैं ऐसा करूँ तो क्या होगा?,Andy: 如果我穿上会怎样？,Άντι: Τι θα συμβεί αν το φορέσω;,34.HEIC
Miranda : You become me,Miranda: तुम मुझ जैसी बन जाओगी।,Miranda: 你会变成我。,Μιράντα: Γίνεσαι εγώ.,38.HEIC
Andy : What if I don't want to live like you?,Andy: मैं तुम्हारी तरह नहीं रहूँगी।,Andy: 我不会变成你那样的人。,Άντι: Κι αν δεν θέλω να ζήσω σαν εσένα;,37.HEIC
Miranda : Ohhh....Don't be ridiculous...Everybody wants to be me,Miranda: तब तुम कुछ भी नहीं रहोगी।,Miranda: 那你什么都不是。,Μιράντα: Ωωω... Μην είσαι γελοία... Όλοι θέλουν να γίνουν εγώ.,31.HEIC
Nigel : Remember what I mentioned earlier,Nigel: याद रखो जो उस गिरी हुई ड्रेस के साथ हुआ था।,Nigel: 记得那件堕落的裙子发生了什么。,Νάιτζελ: Θυμήσου τι σου είπα πριν.,IMG_5134.HEIC
Andy : I will destroy it completely,Andy: मैं उसे पूरी तरह नष्ट कर दूँगी।,Andy: 我要彻底毁掉它。,Άντι: Θα το καταστρέψω ολοκληρωτικά.,IMG_5156.HEIC
Andy : Better free than flawless.,Andy: निर्दोष होने से बेहतर है आज़ाद होना।,Andy: 宁可自由，也不愿完美无缺。,Άντι: Καλύτερα ελεύθερη παρά τέλεια.,IMG_5172.HEIC
Miranda:Nooooooooo,शाप टूटता है,诅咒被打破。,Μιράντα: Όοοοχιιιι.,IMG_5180.HEIC
Nigel : They broke the Cycle,Nigel: उन्होंने चक्र तोड़ दिया।,Nigel: 他们打破了循环。,Νάιτζελ: Έσπασαν τον κύκλο.,IMG_5184.HEIC
"""Ambition Never Dies it only feeds""",महत्वाकांक्षा कभी नहीं मरती; यह केवल पोषण लेती है।,野心永不消亡，它只会继续吞噬。,"Η φιλοδοξία δεν πεθαίνει ποτέ, μόνο τρέφεται.",IMG_5187.HEIC
,,,,Glass.HEIC
This isn't over yet,यह अभी ख़त्म नहीं हुआ है|,这还没结束,Αυτό δεν τελείωσε ακόμη.,22.HEIC
